subject,model,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece,fit_seconds,desktop_latency_ms,parameter_count,artifact_bytes
S4,LSTM,113,0.5,0.9911504424778761,0.9932432432432432,0.9902695255317318,0.975,1.0,0.9873417721518988,1.0,1.0,0.007799500393687013,0.021627618647952793,0.013509830292774366,28.056246599997394,131.27690499532036,36066,144264
S5,Logistic Regression,116,0.5,0.9568965517241379,0.9671052631578947,0.9535814325730292,0.8888888888888888,1.0,0.9411764705882353,1.0,1.0,0.03102090943058863,0.15365987244123952,0.0386309871508463,0.1882866999367252,0.12162000057287514,277,2929
S5,Random Forest,116,0.5,0.9224137931034483,0.9171052631578948,0.9146431199411331,0.8780487804878049,0.9,0.8888888888888888,0.9878289473684211,0.9774564293051956,0.047474808429118776,0.14968833022035122,0.06376436781609196,9.981598200043663,24.935520003782585,45744,3753132
S5,MLP,116,0.5,0.9568965517241379,0.9671052631578947,0.9535814325730292,0.8888888888888888,1.0,0.9411764705882353,0.9980263157894737,0.9965972222222224,0.03908460223477625,0.13839388328389407,0.041247306665486504,4.563144300016575,5.067894997773692,19874,79496
S5,1D-CNN,116,0.5,0.9655172413793104,0.9736842105263157,0.9626769626769627,0.9090909090909091,1.0,0.9523809523809523,0.9967105263157894,0.9931077978149427,0.031387646409616866,0.13807798936017834,0.03418902058498623,5.598240699968301,9.61756999604404,6466,25864
S5,LSTM,116,0.5,0.9568965517241379,0.9671052631578947,0.9535814325730292,0.8888888888888888,1.0,0.9411764705882353,0.9404605263157895,0.7579199327535455,0.04485292767739315,0.3997549934612275,0.04439954308308469,22.496409400017,82.81772500486113,36066,144264
S6,Logistic Regression,115,0.5,0.9565217391304348,0.9491666666666667,0.9517981389890184,0.9487179487179487,0.925,0.9367088607594937,0.984,0.9769443084409878,0.03858175205941998,0.20324419903926053,0.03996981566827438,0.08853259996976703,0.10286999749951065,277,2929
S6,Random Forest,115,0.5,0.9043478260869565,0.9091666666666667,0.8973630831643002,0.8222222222222222,0.925,0.8705882352941177,0.9795,0.9700657689566068,0.06906454106280194,0.22117188952043432,0.09368115942028984,9.414418599917553,24.812334997113794,49642,4065026
S6,MLP,115,0.5,0.9739130434782609,0.98,0.9717236292107204,0.9302325581395349,1.0,0.963855421686747,0.998,0.9962910912365341,0.024045727159592797,0.08963851040263102,0.03139127556798251,6.866812099935487,5.948324996279553,19874,79496
S6,1D-CNN,115,0.5,0.9478260869565217,0.9366666666666668,0.9418016194331984,0.9473684210526315,0.9,0.9230769230769231,0.9953333333333334,0.9917853212521393,0.03395646262207826,0.10173637364045601,0.02734810089025652,6.370443399995565,6.484414997976273,6466,25864
S6,LSTM,115,0.5,0.9478260869565217,0.9483333333333333,0.9431443638760713,0.9047619047619048,0.95,0.926829268292683,0.992,0.9867838386680229,0.047937536195479455,0.16983192513910286,0.07308135295043819,18.078855200088583,83.74794000410475,36066,144264
S7,Logistic Regression,115,0.5,0.9391304347826087,0.9227395411605939,0.9307526881720429,0.9444444444444444,0.8717948717948718,0.9066666666666666,0.9696356275303644,0.9729084819715871,0.05020122842312383,0.47300324929263743,0.059863937944682234,0.055328099988400936,0.08570500067435205,277,2929
S7,Random Forest,115,0.5,0.8521739130434782,0.8195006747638327,0.8294215164470814,0.8235294117647058,0.717948717948718,0.7671232876712328,0.9439946018893387,0.7984488076655167,0.09088685990338165,0.28295667113077533,0.11023188405797102,9.736597799928859,26.34710500133224,47058,3858270
S7,MLP,115,0.5,0.9304347826086956,0.909919028340081,0.9203049203049203,0.9428571428571428,0.8461538461538461,0.8918918918918919,0.9659244264507423,0.963620308835512,0.054654605525848284,0.40130723772154037,0.06548753223853016,6.326073699980043,4.935909999767318,19874,79496
S7,1D-CNN,115,0.5,0.9652173913043478,0.9612010796221322,0.9612010796221322,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9669365721997301,0.9699606240461724,0.03635643351385119,0.4319034494822019,0.040668889581390304,6.96903880010359,8.362625003792346,6466,25864
S7,LSTM,115,0.5,0.9304347826086956,0.909919028340081,0.9203049203049203,0.9428571428571428,0.8461538461538461,0.8918918918918919,0.9888663967611336,0.9764777878449368,0.06013014766575261,0.20676064831106425,0.06880360560228482,20.51840279996395,165.96021499717608,36066,144264
