subject,masked_modality,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece
S4,Temperature,113,0.5,0.9911504424778761,0.9932432432432432,0.9902695255317318,0.975,1.0,0.9873417721518988,1.0,1.0,0.0024570194891331545,0.007226414362101614,0.0052710136210528296
S5,EDA,116,0.5,0.7672413793103449,0.6861842105263157,0.6997411561691113,0.8095238095238095,0.425,0.5573770491803278,0.93125,0.7413678125581973,0.21759056578024294,1.4487103659870295,0.2291717128782536
S5,HRV/BVP,116,0.5,0.8793103448275862,0.8368421052631578,0.8567901234567901,0.9333333333333333,0.7,0.8,0.9723684210526315,0.8870461206935667,0.09048699171571441,0.3187075257938944,0.11290813417093074
S5,Movement,116,0.5,0.9568965517241379,0.9671052631578947,0.9535814325730292,0.8888888888888888,1.0,0.9411764705882353,0.9463815789473684,0.7799657035711888,0.0431519721178216,0.38013959062824376,0.04056638254490379
S5,None,116,0.5,0.9568965517241379,0.9671052631578947,0.9535814325730292,0.8888888888888888,1.0,0.9411764705882353,0.9404605263157895,0.7579199327535455,0.04485292767739315,0.3997549934612275,0.04439954308308469
S5,Temperature,116,0.5,0.9482758620689655,0.9605263157894737,0.944568333864288,0.8695652173913043,1.0,0.9302325581395349,0.9424342105263157,0.7749956619760139,0.05199244294426894,0.45082461280130315,0.05353468276905852
S6,EDA,115,0.5,0.9478260869565217,0.9308333333333334,0.9410457963089542,0.9722222222222222,0.875,0.9210526315789473,0.9933333333333333,0.9888661468020458,0.03533376157876748,0.13595917995403736,0.07584626627681049
S6,HRV/BVP,115,0.5,0.9391304347826087,0.9533333333333334,0.9352945904670042,0.851063829787234,1.0,0.9195402298850575,0.998,0.9964700996677741,0.0464857660619639,0.1603084739153821,0.07445700552476489
S6,Movement,115,0.5,0.9304347826086956,0.9233333333333333,0.9233333333333333,0.9,0.9,0.9,0.9893333333333333,0.9831579878454879,0.057804610231406386,0.19256669360236983,0.04019889689010126
S6,None,115,0.5,0.9478260869565217,0.9483333333333333,0.9431443638760713,0.9047619047619048,0.95,0.926829268292683,0.992,0.9867838386680229,0.047937536195479455,0.16983192513910286,0.07308135295043819
S6,Temperature,115,0.5,0.8956521739130435,0.8966666666666667,0.8874755381604696,0.8181818181818182,0.9,0.8571428571428571,0.9646666666666667,0.9594844988666829,0.08071871556687853,0.26933750752171204,0.08324973256043769
S7,EDA,115,0.5,0.9826086956521739,0.9743589743589743,0.9803485987696514,1.0,0.9487179487179487,0.9736842105263158,1.0,1.0,0.009580589065302491,0.030932175111362953,0.013153964696887321
S7,HRV/BVP,115,0.5,0.8695652173913043,0.8451417004048583,0.8516129032258064,0.8333333333333334,0.7692307692307693,0.8,0.9534412955465587,0.9042104744548555,0.11267002210599339,0.48365458136775824,0.10889983386833871
S7,Movement,115,0.5,0.8695652173913043,0.8201754385964912,0.8420474315538871,0.9285714285714286,0.6666666666666666,0.7761194029850746,0.9686234817813765,0.929338379961637,0.1093832023986754,0.4129682352069273,0.12000404434637976
S7,None,115,0.5,0.9304347826086956,0.909919028340081,0.9203049203049203,0.9428571428571428,0.8461538461538461,0.8918918918918919,0.9888663967611336,0.9764777878449368,0.06013014766575261,0.20676064831106425,0.06880360560228482
S7,Temperature,115,0.5,0.8869565217391304,0.8520580296896086,0.867570201080698,0.90625,0.7435897435897436,0.8169014084507042,0.9574898785425101,0.9324125190637044,0.0984668053819084,0.42097053755179376,0.10551491470693652
S8,EDA,115,0.5,0.9217391304347826,0.9065589980224127,0.913236650180233,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.988793671720501,0.9806811413780265,0.060300916419346096,0.21541515355961247,0.06319146340753398
S8,HRV/BVP,115,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00014040232508212894,0.0051084885665480684,0.005035710260879395
S8,Movement,115,0.5,0.9565217391304348,0.949901120632828,0.952357278979203,0.95,0.926829268292683,0.9382716049382716,0.9970336189848386,0.9948553792694186,0.022826681217923344,0.07043703326720925,0.03278211744340219
S8,None,115,0.5,0.9826086956521739,0.9864864864864865,0.981245923026745,0.9534883720930233,1.0,0.9761904761904762,1.0,1.0,0.00944297345648609,0.02986932828644625,0.020972654649623397
S8,Temperature,115,0.5,0.9391304347826087,0.9309492419248517,0.933300190570884,0.925,0.9024390243902439,0.9135802469135802,0.995385629531971,0.9919616726010019,0.03279038392239206,0.09494613240447931,0.042411077887568926
S9,EDA,116,0.5,0.8362068965517241,0.7625,0.7887067395264116,1.0,0.525,0.6885245901639344,0.9575657894736842,0.939569126487495,0.13804657142627705,0.5420857793666586,0.1565728508847252
S9,HRV/BVP,116,0.5,0.9396551724137931,0.9125,0.9300422159041957,1.0,0.825,0.9041095890410958,1.0,1.0,0.04958118787028371,0.17537244630441623,0.063595661993845
S9,Movement,116,0.5,0.9827586206896551,0.975,0.9806859806859807,1.0,0.95,0.9743589743589743,1.0,1.0,0.013819065850874966,0.050891350416402595,0.03656683892116014
S9,None,116,0.5,0.9310344827586207,0.9,0.9194444444444444,1.0,0.8,0.8888888888888888,0.9993421052631578,0.998765243902439,0.05619316708393371,0.21075257640759829,0.06625250452157944
S9,Temperature,116,0.5,0.9310344827586207,0.9,0.9194444444444444,1.0,0.8,0.8888888888888888,0.9723684210526315,0.9605935904071224,0.06594078300058474,0.2631559023692798,0.06998379502027968
